question_id;next_question_id
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_c
bin_c;bin_main
bin_main;pq_a
pq_a;pq_a
pq_a;rul_instructions
rul_instructions;rul_a
rul_a;rul_b
rul_b;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;rul_e
rul_e;rul_e
rul_e;tri_instructions
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_f
syn_f;syn_b2
syn_b2;syn_instructions
syn_instructions;syn_f
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_instructions
fra_instructions;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;fra_main
fra_main;fra_f
fra_f;fra_f
fra_f;bin_c
bin_c;fra_main
fra_main;fra_main
fra_main;pq_a
pq_a;pq_a
pq_a;pq_a
pq_a;pq_a
pq_a;pq_b
pq_b;pq_b
pq_b;pq_main
pq_main;pq_main
pq_main;pq_instructions
pq_instructions;survey
survey;pq_main
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_b
fra_b;fra_c
fra_c;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;bin_main
bin_main;fra_main
fra_main;fra_main
fra_main;pq_a
pq_a;pq_b
pq_b;pq_main
pq_main;pq_main
pq_main;pq_main
start_instructions;syn_a1
syn_a1;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;fra_a
fra_a;fra_b
fra_b;fra_b
fra_b;fra_b
fra_b;fra_c
fra_c;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;pq_instructions
start_instructions;start_instructions
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_c
fra_c;fra_c
fra_c;fra_c
fra_c;fra_d
fra_d;fra_d
fra_d;fra_e
fra_e;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;pq_a
pq_a;pq_b
pq_b;rul_a
rul_a;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;rul_e
rul_e;tri_a
tri_a;tri_b
tri_b;tri_c
tri_c;sur_instructions
start_instructions;syn_instructions
syn_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_c
bin_c;bin_main
bin_main;pq_instructions
pq_instructions;rul_instructions
rul_instructions;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;rul_e
rul_e;rul_main
rul_main;tri_instructions
tri_instructions;survey
survey;tri_a
tri_a;tri_b
tri_b;tri_c
tri_c;pq_a
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_f
syn_f;syn_main
syn_main;syn_instructions
syn_instructions;syn_main
syn_main;syn_main
syn_main;fra_instructions
fra_instructions;fra_a
fra_a;fra_b
fra_b;fra_b
fra_b;fra_b
fra_b;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;pq_instructions
pq_instructions;pq_a
pq_a;pq_b
start_instructions;start_instructions
start_instructions;syn_a1
syn_a1;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_main
syn_main;syn_main
syn_main;bin_c
bin_c;bin_c
bin_c;bin_main
bin_main;fra_main
fra_main;pq_main
pq_main;rul_main
start_instructions;syn_instructions
syn_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_d
syn_d;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_instructions
fra_instructions;fra_a
fra_a;fra_a
fra_a;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_a
bin_a;bin_b
bin_b;bin_b
start_instructions;syn_instructions
syn_instructions;syn_a1
syn_a1;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;bin_b
bin_b;syn_e
syn_e;syn_e
syn_e;syn_main
syn_main;fra_instructions
fra_instructions;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;fra_f
fra_f;fra_f
fra_f;bin_a
bin_a;bin_c
bin_c;bin_main
bin_main;fra_main
fra_main;pq_instructions
pq_instructions;pq_a
pq_a;pq_b
pq_b;pq_main
pq_main;rul_a
rul_a;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;tri_instructions
tri_instructions;tri_a
tri_a;tri_b
tri_b;tri_b
tri_b;survey
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b2
syn_b2;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;syn_c
syn_c;syn_instructions
syn_instructions;pq_main
pq_main;pq_main
pq_main;rul_main
rul_main;rul_main
rul_main;rul_main
start_instructions;syn_instructions
syn_instructions;syn_a1
syn_a1;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_c
fra_c;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;bin_main
bin_main;fra_main
fra_main;fra_main
fra_main;pq_a
pq_a;pq_b
pq_b;pq_main
pq_main;pq_instructions
pq_instructions;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;rul_e
rul_e;rul_main
rul_main;tri_instructions
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;bin_main
bin_main;fra_main
fra_main;pq_a
pq_a;pq_a
pq_a;pq_b
pq_b;survey
survey;pq_b
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;start_instructions
start_instructions;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;fra_main
fra_main;pq_a
pq_a;pq_b
pq_b;pq_main
pq_main;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
start_instructions;syn_a1
syn_a1;syn_d
syn_d;fra_instructions
fra_instructions;tri_instructions
tri_instructions;tri_a
tri_a;tri_c
tri_c;sur_instructions
sur_instructions;pq_instructions
pq_instructions;rul_instructions
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;syn_instructions
syn_instructions;fra_instructions
fra_instructions;fra_a
fra_a;fra_a
fra_a;fra_b
fra_b;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_c
bin_c;bin_main
bin_main;fra_main
fra_main;fra_main
fra_main;pq_a
pq_a;pq_a
pq_a;pq_b
pq_b;rul_instructions
rul_instructions;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;rul_d
rul_d;rul_e
rul_e;survey
start_instructions;syn_main
syn_main;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_e
syn_e;syn_e
syn_e;syn_e
syn_e;syn_e
syn_e;syn_f
syn_f;syn_f
syn_f;syn_main
syn_main;syn_main
syn_main;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;fra_f
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_b2
syn_b2;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;syn_main
syn_main;syn_main
syn_main;syn_main
syn_main;syn_main
syn_main;syn_instructions
syn_instructions;start_instructions
start_instructions;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_main
bin_main;bin_main
bin_main;fra_main
start_instructions;syn_a2
syn_a2;syn_main
syn_main;syn_instructions
syn_instructions;start_instructions
start_instructions;syn_f
syn_f;pq_main
pq_main;pq_instructions
pq_instructions;pq_main
